 id |                      package_name                      
 239 | javax.validation.validation-api
 240 | javax.inject.javax.inject
 241 | com.google.inject.extensions.guice-multibindings
 243 | org.testng.testng
 244 | com.proofpoint.platform.testing
 246 | org.eclipse.jetty.jetty-servlet
 248 | org.apache.activemq.activemq-all
(25 rows)

 id  |                          package_name                           
-----+-----------------------------------------------------------------
 254 | com.fasterxml.jackson.dataformat.jackson-dataformat-smile
 255 | com.fasterxml.jackson.datatype.jackson-datatype-guava
 260 | org.eobjects.datacleaner.DataCleaner-html-rendering
 262 | org.openl.rules.org.openl.rules.ruleservice.ws.logging
 263 | org.apache.cxf.cxf-rt-frontend-jaxrs
 264 | org.apache.cxf.cxf-rt-frontend-jaxws
 265 | org.openl.rules.org.openl.rules.ruleservice
 267 | org.hibernate.ogm.hibernate-ogm-core
 268 | org.hibernate.hql.hibernate-hql-lucene
 269 | org.jboss.logging.jboss-logging-processor
 270 | org.jboss.resteasy.resteasy-client
 272 | org.jboss.resteasy.resteasy-jackson2-provider
 275 | org.hibernate.hibernate-search-orm
 278 | io.takari.junit.takari-cpsuite
 279 | org.jboss.narayana.jta.narayana-jta
 280 | org.easytesting.fest-assert
 281 | org.jboss.shrinkwrap.shrinkwrap-impl-base
 282 | org.jboss.spec.javax.transaction.jboss-transaction-api_1.2_spec
 286 | org.skyscreamer.jsonassert
 287 | org.jboss.byteman.byteman
 288 | org.jboss.byteman.byteman-bmunit
 290 | org.jboss.byteman.byteman-install
 291 | org.scala-lang.scala-compiler
 294 | org.apache.lucene.lucene-core
 295 | org.apache.lucene.lucene-queries
(25 rows)

 id  |                   package_name                   
-----+--------------------------------------------------
 296 | ant.ant
 300 | com.typesafe.config
 301 | com.chuusai.shapeless_2.12
 302 | com.typesafe.akka.akka-actor_2.12
 303 | com.typesafe.akka.akka-persistence_2.12
 304 | org.iq80.leveldb.leveldb
 305 | org.fusesource.leveldbjni.leveldbjni-all
 306 | com.typesafe.scala-logging.scala-logging_2.12
 307 | com.typesafe.akka.akka-slf4j_2.12
 309 | org.scalatest.scalatest_2.12
 310 | com.typesafe.akka.akka-testkit_2.12
 312 | com.google.code.findbugs.jsr305
 314 | commons-lang.commons-lang
 316 | io.engineblock.eb-api
 317 | com.google.auto.service.auto-service
 325 | org.yaml.snakeyaml
 326 | org.xwiki.commons.xwiki-commons-context
 328 | org.xwiki.commons.xwiki-commons-tool-test-simple
 329 | com.sap.cloud.neo-java-web-api
 332 | org.mockito.mockito-all
 333 | org.assertj.assertj-core-java8
 336 | org.springframework.spring-web
 337 | com.google.protobuf.protobuf-java
 339 | org.springframework.spring-test
 343 | org.aspectj.aspectjtools
(25 rows)

 id  |                          package_name                           
-----+-----------------------------------------------------------------
 344 | com.android.tools.build.gradle
 345 | org.aspectj.aspectjrt
 347 | org.codehaus.groovy.groovy-test
 348 | org.grails.grails-web-common
 349 | org.objenesis.objenesis
 353 | org.apache.tomcat.embed.tomcat-embed-core
 354 | org.spockframework.spock-core
 357 | io.joynr.java.core.clustercontroller-websocket-runtime
 358 | io.joynr.java.core.clustercontroller-inprocess-runtime
 359 | io.joynr.java.core.libjoynr-websocket-runtime
 360 | io.joynr.java.messaging.mqtt.joynr-mqtt-client
 362 | jline.jline
 363 | commons-cli.commons-cli
 364 | io.joynr.java.messaging.bounceproxy.single-bounceproxy
 365 | io.joynr.java.backend-services.discovery-directory-servlet
 366 | io.joynr.java.backend-services.domain-access-controller-servlet
 367 | io.joynr.java.backend-services.discovery-directory-jee
 368 | io.joynr.java.backend-services.domain-access-controller-jee
 371 | org.springframework.boot.spring-boot-configuration-processor
 373 | org.springframework.boot.spring-boot-starter-actuator
 375 | org.neo4j.neo4j-jmx
 376 | org.neo4j.neo4j-kernel
 378 | org.codehaus.groovy.groovy
 380 | cglib.cglib-nodep
 381 | org.apache.tomcat.embed.tomcat-embed-logging-juli
(25 rows)

 id  |                         package_name                         
-----+--------------------------------------------------------------
 382 | org.slf4j.jcl-over-slf4j
