     id     | module_id |                                                                               fasten_uri                                                                               | is_internal_call | created_at | line_start | line_end |                metadata                
 1744814753 | 207360891 | /scala.collection.mutable/ArrayStack$$anon$1.exists(%2Fscala%2FFunction1)%2Fjava.lang%2FBooleanType                                                                    | t                |            |        218 |      218 | {"access": "public", "defined": true}
 1744814754 | 207360891 | /scala.collection.mutable/ArrayStack$$anon$1.duplicate()%2Fscala%2FTuple2                                                                                              | t                |            |        218 |      218 | {"access": "public", "defined": true}
 1744814755 | 207360891 | /scala.collection.mutable/ArrayStack$$anon$1.filterNot(%2Fscala%2FFunction1)%2Fscala.collection%2FIterator                                                             | t                |            |        218 |      218 | {"access": "public", "defined": true}
 1744814756 | 207360891 | /scala.collection.mutable/ArrayStack$$anon$1.filter(%2Fscala%2FFunction1)%2Fscala.collection%2FIterator                                                                | t                |            |        218 |      218 | {"access": "public", "defined": true}
 1744814757 | 207360891 | /scala.collection.mutable/ArrayStack$$anon$1.findIndexOf(%2Fscala%2FFunction1)%2Fjava.lang%2FIntegerType                                                               | t                |            |        218 |      218 | {"access": "public", "defined": true}
 1744814758 | 207360891 | /scala.collection.mutable/ArrayStack$$anon$1.find(%2Fscala%2FFunction1)%2Fscala%2FOption                                                                               | t                |            |        218 |      218 | {"access": "public", "defined": true}
 1744814759 | 207360891 | /scala.collection.mutable/ArrayStack$$anon$1.fold(%2Fjava.lang%2FObject,%2Fscala%2FFunction2)%2Fjava.lang%2FObject                                                     | t                |            |        218 |      218 | {"access": "public", "defined": true}
 1744814760 | 207360891 | /scala.collection.mutable/ArrayStack$$anon$1.flatMap(%2Fscala%2FFunction1)%2Fscala.collection%2FIterator                                                               | t                |            |        218 |      218 | {"access": "public", "defined": true}
 1744814761 | 207360891 | /scala.collection.mutable/ArrayStack$$anon$1.foldRight(%2Fjava.lang%2FObject,%2Fscala%2FFunction2)%2Fjava.lang%2FObject                                                | t                |            |        218 |      218 | {"access": "public", "defined": true}
 1744814762 | 207360891 | /scala.collection.mutable/ArrayStack$$anon$1.foldLeft(%2Fjava.lang%2FObject,%2Fscala%2FFunction2)%2Fjava.lang%2FObject                                                 | t                |            |        218 |      218 | {"access": "public", "defined": true}
